date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-08-14,NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,40.73,40.0,78.03,1.82,-47.8,4.03,19.4,60422901760.0,2026-08-17T09:24:12.936813+00:00
2026-08-14,MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,272.83,260.96,337.56,4.55,-19.18,2.73,22.18,193065828352.0,2026-08-17T09:24:09.179494+00:00
2026-08-14,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,140.79,133.4,168.19,5.54,-16.29,4.2,18.45,192319127552.0,2026-08-17T09:24:14.755509+00:00
2026-08-14,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,144.55,134.62,164.77,7.37,-12.27,3.01,21.84,335996813312.0,2026-08-17T09:24:15.443483+00:00
2026-08-14,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,218.47,199.4,289.87,9.56,-24.63,2.29,18.48,,2026-08-17T09:24:07.962889+00:00
2026-08-14,RSG,"Republic Services, Inc.",Industrials,Waste Management,214.71,195.84,235.9,9.64,-8.98,1.25,30.41,65746993152.0,2026-08-17T09:24:17.290823+00:00
2026-08-14,PNR,Pentair plc.,Industrials,Specialty Industrial Machinery,66.16,57.35,112.57,15.36,-41.23,1.6,17.05,10559136768.0,2026-08-17T09:24:16.071970+00:00
2026-08-14,AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,62.17,53.83,80.92,15.48,-23.17,2.32,17.32,8449436160.0,2026-08-17T09:23:52.575781+00:00
2026-08-14,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,418.8,359.36,530.35,16.54,-21.03,93.0,25.51,123462238208.0,2026-08-17T09:24:18.548871+00:00
2026-08-14,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,152.11,130.42,169.47,16.63,-10.24,1.26,29.59,168036581376.0,2026-08-17T09:24:21.130982+00:00
2026-08-14,AFL,AFLAC Incorporated,Financial Services,Insurance - Life,121.45,102.8,130.22,18.15,-6.73,2.01,13.1,60888141824.0,2026-08-17T09:23:51.947436+00:00
2026-08-14,IBM,International Business Machines,Technology,Information Technology Services,234.32,197.77,330.09,18.48,-29.01,2.88,20.79,220760932352.0,2026-08-17T09:24:04.047498+00:00
2026-08-14,VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,14.87,12.33,22.15,20.57,-32.87,2.42,21.55,5845911040.0,2026-08-17T09:24:23.667506+00:00
2026-08-14,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,110.39,91.17,129.81,21.08,-14.96,4.64,21.82,36713398272.0,2026-08-17T09:24:05.954900+00:00
2026-08-14,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,115.27,94.85,135.16,21.53,-14.72,86.0,40.59,917327708160.0,2026-08-17T09:24:24.330743+00:00
2026-08-14,MA,Mastercard Incorporated,Financial Services,Credit Services,569.29,463.74,598.04,22.76,-4.81,61.0,31.35,498703663104.0,2026-08-17T09:24:08.562213+00:00
2026-08-14,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,287.52,233.85,303.35,22.95,-5.22,3.6,44.85,19819583488.0,2026-08-17T09:24:00.766506+00:00
2026-08-14,MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,54.67,44.42,71.13,23.08,-23.14,3.51,9.1,14698114048.0,2026-08-17T09:24:10.336682+00:00
2026-08-14,SYY,Sysco Corporation,Consumer Defensive,Food Distribution,82.99,67.23,90.56,23.43,-8.36,2.65,22.67,39714332672.0,2026-08-17T09:24:19.833362+00:00
2026-08-14,SHW,Sherwin-Williams Company (The),Basic Materials,Specialty Chemicals,359.1,289.86,376.95,23.89,-4.74,89.0,33.13,87174447104.0,2026-08-17T09:24:17.936492+00:00
2026-08-14,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,65.7,53.01,77.06,23.95,-14.74,6.45,13.83,109702168576.0,2026-08-17T09:24:11.576220+00:00
2026-08-14,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,290.81,234.38,301.92,24.08,-3.68,2.37,26.32,82822684672.0,2026-08-17T09:24:04.681383+00:00
2026-08-14,CTAS,Cintas Corporation,Industrials,Specialty Business Services,199.52,160.31,219.16,24.46,-8.96,1.04,40.64,79841837056.0,2026-08-17T09:23:58.876416+00:00
2026-08-14,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,91.95,73.22,98.15,25.58,-6.32,2.31,36.2,73300033536.0,2026-08-17T09:23:56.984997+00:00
2026-08-14,MDT,Medtronic plc.,Healthcare,Medical Devices,91.27,72.65,103.76,25.62,-12.04,3.16,24.47,,2026-08-17T09:24:09.760569+00:00
2026-08-14,CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,101.3,80.29,105.37,26.17,-3.87,1.21,32.47,24028755968.0,2026-08-17T09:23:56.354404+00:00
2026-08-14,CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,105.7,83.72,125.83,26.25,-15.99,4.73,21.98,12782407680.0,2026-08-17T09:23:57.592066+00:00
2026-08-14,NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,86.19,67.81,98.03,27.1,-12.08,2.89,19.37,179790462976.0,2026-08-17T09:24:12.295961+00:00
2026-08-14,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,395.78,305.43,400.0,29.58,-1.06,1.61,24.15,107081121792.0,2026-08-17T09:24:02.078483+00:00
2026-08-14,CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,343.64,263.7,365.91,30.32,-6.09,1.19,12.18,132576272384.0,2026-08-17T09:23:55.727261+00:00
2026-08-14,ROP,"Roper Technologies, Inc.",Technology,Software - Application,399.34,305.19,540.19,30.85,-26.07,91.0,16.64,39495073792.0,2026-08-17T09:24:16.714733+00:00
2026-08-14,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,207.07,157.78,236.42,31.24,-12.41,1.01,25.07,27888234496.0,2026-08-17T09:23:59.473069+00:00
2026-08-14,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,110.56,84.21,122.0,31.29,-9.38,4.7,11.1,23584200704.0,2026-08-17T09:24:22.387734+00:00
2026-08-14,BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,70.54,53.69,97.36,31.39,-27.55,94.0,22.54,23603415040.0,2026-08-17T09:23:54.445791+00:00
2026-08-14,MMM,3M Company,Industrials,Conglomerates,182.65,138.62,184.9,31.76,-1.22,1.71,32.44,94196695040.0,2026-08-17T09:24:10.942379+00:00
2026-08-14,EMR,Emerson Electric Company,Industrials,Specialty Industrial Machinery,163.17,121.73,165.79,34.04,-1.58,1.36,35.7,91016224768.0,2026-08-17T09:24:00.134485+00:00
2026-08-14,TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,588.29,434.83,642.71,35.29,-8.47,32.0,31.65,217518620672.0,2026-08-17T09:24:21.764099+00:00
2026-08-14,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,118.39,87.27,128.21,35.66,-7.66,3.92,23.92,10349456384.0,2026-08-17T09:24:01.431986+00:00
2026-08-14,KO,Coca-Cola Company (The),Consumer Defensive,Beverages - Non-Alcoholic,87.71,64.04,90.92,36.97,-3.53,2.42,26.34,377376571392.0,2026-08-17T09:24:06.653937+00:00
